date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:41:02	753992/753992	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/index.html	(from )
15:41:02	171/171	---M-Z	200	added ('OK')	text/plain	etag:0x8D80237BAEF7C14	https://docs.godotengine.org/robots.txt		(from )
15:41:02	15414/15414	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/_static/js/modernizr.min.js	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/_static/js/modernizr.min.js	(from https://docs.godotengine.org/zh_CN/latest/)
15:41:02	311/311	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/_static/documentation_options.js	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/_static/documentation_options.js	(from https://docs.godotengine.org/zh_CN/latest/)
15:41:03	86659/86659	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/_static/jquery.js	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/_static/jquery.js	(from https://docs.godotengine.org/zh_CN/latest/)
15:41:03	12140/12140	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/_static/underscore.js	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/_static/underscore.js	(from https://docs.godotengine.org/zh_CN/latest/)
15:41:04	9313/9313	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/_static/doctools.js	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/_static/doctools.js	(from https://docs.godotengine.org/zh_CN/latest/)
15:41:04	10847/10847	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/_static/language_data.js	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/_static/language_data.js	(from https://docs.godotengine.org/zh_CN/latest/)
15:41:04	10691/10691	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/_static/js/custom.js	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/_static/js/custom.js	(from https://docs.godotengine.org/zh_CN/latest/)
15:41:05	4643/4643	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2027%20May%202020%2013:28:09%20GMT	https://docs.godotengine.org/zh_CN/latest/_static/translations.js	E:/WinHTTrack/MyWebsits/GodotDoc/docs.godotengine.org/zh_CN/latest/_static/translations.js	(from https://docs.godotengine.org/zh_CN/latest/)
15:41:06	43847/43847	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20May%202020%2016:52:28%20GMT	https://assets.readthedocs.org/static/javascript/readthedocs-doc-embed.js	E:/WinHTTrack/MyWebsits/GodotDoc/assets.readthedocs.org/static/javascript/readthedocs-doc-embed.js	(from https://docs.godotengine.org/zh_CN/latest/)
